Location,Latitude,Longitude,Year
"University of Regina, Johnson Shoyama Graduate School of Public Policy",50.440091,-104.611398,2017-2018
"University of Regina, Faculty of Arts",50.419213,-104.59171,2017-2018
"Wilfrid Laurier University, Faculty of Human and Social Sciences",43.139841,-80.260979,2017-2018
College of Agriculture,52.13293,-106.631622,2018-2019
College of Arts & Science,52.131981,-106.637432,2018-2019
College of Dentistry,52.130099,-106.639247,2018-2019
College of Education,52.134949,-106.637209,2018-2019
College of Engineering,52.132236,-106.629234,2018-2019
College of Kinesiology,52.129638,-106.631664,2018-2019
College of Law,52.132674,-106.638798,2018-2019
College of Medicine,52.130992,-106.639212,2018-2019
College of Nursing,52.131057,-106.63907,2018-2019
College of Pharmacy and Nutrition,52.131254,-106.63915,2018-2019
College of Veterinary Medicine,52.134073,-106.629825,2018-2019
Edwards School of Business,52.133142,-106.638062,2018-2019
Johnson Shoyama Graduate School of Public Policy,52.13393,-106.639996,2018-2019
Information and Communications Technology ,52.130947,-106.636964,2018-2019
Gwenna Moss Center for Teaching and Learning,52.130975,-106.636771,2018-2019
University Library,52.131043,-106.637432,2018-2019
Office of theVice-President Research,52.130471,-106.632239,2018-2019
Saskatchewan Population Health and Evaluation Research Unit (SPHERU),52.129392,-106.639976,2018-2019
Saint Thomas More College,52.129257,-106.636304,2018-2019
School of Environment and Sustainability,52.13257,-106.632141,2018-2019
School of Public Health,52.129912,-106.639928,2018-2019
Canadian Centre for Health and Safety in Agriculture (CCHSA),52.129912,-106.639928,2018-2019
Saskatchewan Centre for Patient-Oriented Research (SCPOR),52.1291,-106.642223,2018-2019
Saskatchewan Food Industry Development Centre Inc.,52.136359,-106.631867,2018-2019
Affinity Credit Union,50.445386,-104.610718,2018-2019
Alberta Health Services - Calgary Zone,50.964532,-114.074917,2018-2019
Canfax Research Services,51.11344,-114.04556,2018-2019
CBC Saskatchewan,50.439261,-104.607762,2018-2019
"McMaster University, Public & Patient Engagement",43.262766,-79.917706,2018-2019
College of Physicians and Surgeons of Saskatchewan,52.157982,-106.686758,2018-2019
Ecole Polytechnique de Montreal,45.504427,-73.612773,2018-2019
Glasshouse Capacity Services Society ,49.284104,-123.106605,2018-2019
Government of Saskatchewan,50.446953,-104.60758,2018-2019
Howard Coad School,52.134544,-106.701427,2018-2019
Keyano College,56.712548,-111.34928,2018-2019
Lloydminster Friendship Centre,53.280146,-110.003829,2018-2019
Nova Scotia Health Authority,44.644149,-63.661884,2018-2019
"Queen's University at Kingston, School of Kinesiology & Health Studies",44.228642,-76.493401,2018-2019
Ray Gosselin Architect Ltd. ,50.419404,-104.581529,2018-2019
Saskatchewan Health Authority,52.136216,-106.653245,2018-2019
Saskatchewan Polytechnic ,52.143157,-106.669309,2018-2019
Saskatchewan Teachers' Foundation (STF),52.101064,-106.610112,2018-2019
Sexual Assault Services of Saskatchewan,50.473777,-104.569658,2018-2019
"University of Guelph,  School of Environmental Design and Rural Development (SEDRD)",43.532429,-80.225291,2018-2019
University of Illinois at Chicago,41.874926,-87.658079,2018-2019
"University of Manitoba, Sociology and Criminology",49.809421,-97.130521,2018-2019
"University of Manitoba, Agribusiness and Agricultural Economics",49.80696,-97.135538,2018-2019
"University of Regina , Business Administration ",50.416872,-104.589408,2018-2019
"Wilfrid Laurier University, Department of Criminology",43.138236,-80.263812,2018-2019
Quint Development Corporation,52.126559,-106.686914,2018-2019
First Nations Technical Services Advisory Group,53.544307,-113.635989,2018-2019
Saskatchewan Arts Alliance,50.456836,-104.597263,2018-2019
Food Industry Development Centre Inc,52.136236,-106.632361,2018-2019
"University of Regina, Nursing",50.418254,-104.591919,2018-2019
"University of Regina, English",50.419186,-104.58931,2018-2019
"University of Regina, Johnson Shoyama Graduate School of Public Policy",50.440091,-104.611398,2018-2019
